Year,Team,Players,Position,BaseSalary,BaseNum,GK_Score,D_tackles_won_pct,D_interceptions,D_clearances,D_pressure_regain_pct,M_passes,M_passes_pct,F_goals,F_shots_on_target_pct
2019,fulham Fc,Jean Michael Seri,M,3380000,3.38,,0,0,0,0,0,0,0,0
2019,fulham Fc,Ivan Cavaleiro,F,3120000,3.12,,0,0,0,0,0,0,0,0
2019,fulham Fc,Aleksandar Mitrovic,F,3120000,3.12,,0,0,0,0,0,0,0,0
2019,fulham Fc,Michael Hector,D,2600000,2.6,,0,0,0,0,0,0,0,0
2019,fulham Fc,Fabricio Agosto Ramírez,GK,2340000,2.34,,0,0,0,0,0,0,0,0
2019,fulham Fc,Joshua Onomah,M,2340000,2.34,,0,0,0,0,0,0,0,0
2019,fulham Fc,Bobby Reid,M,2340000,2.34,,0,0,0,0,0,0,0,0
2019,fulham Fc,Tom Cairney,M,2080000,2.08,,0,0,0,0,0,0,0,0
2019,fulham Fc,Marcus Bettinelli,GK,1820000,1.82,,0,0,0,0,0,0,0,0
2019,fulham Fc,Anthony Knockaert,F,1820000,1.82,,0,0,0,0,0,0,0,0
2019,fulham Fc,Alfie Mawson,D,1664000,1.664,,0,0,0,0,0,0,0,0
2019,fulham Fc,Joe Bryan,D,1560000,1.56,,0,0,0,0,0,0,0,0
2019,fulham Fc,Tim Ream,D,1404000,1.404,,0,0,0,0,0,0,0,0
2019,fulham Fc,Maxime le Marchand,D,1300000,1.3,,0,0,0,0,0,0,0,0
2019,fulham Fc,Kevin McDonald,M,1144000,1.144,,0,0,0,0,0,0,0,0
2019,fulham Fc,Cyrus Christie,D,1040000,1.04,,0,0,0,0,0,0,0,0
2019,fulham Fc,Neeskens Kebano,M,700000,0.7,,0,0,0,0,0,0,0,0
2019,fulham Fc,Ibrahima Cissé,M,650000,0.65,,0,0,0,0,0,0,0,0
2019,fulham Fc,Aboubakar Kamara,F,650000,0.65,,0,0,0,0,0,0,0,0
2019,fulham Fc,Harrison Reed,M,624000,0.624,,0,0,0,0,0,0,0,0
2019,fulham Fc,Stefan Johansen,M,520000,0.52,,0,0,0,0,0,0,0,0
2019,fulham Fc,Floyd Ayité,F,416000,0.416,,0,0,0,0,0,0,0,0
2019,fulham Fc,Jordan Archer,GK,0,0,0,0,0,0,0,0,0,0,0
2019,fulham Fc,Steven Sessegnon,D,0,0,0,0,0,0,0,0,0,0,0
2019,leeds United Fc,Patrick Bamford,F,1820000,1.82,,0,0,0,0,0,0,0,0
2019,leeds United Fc,Kiko Casilla,GK,1670000,1.67,,0,0,0,0,0,0,0,0
2019,leeds United Fc,Adam Forshaw,M,1040000,1.04,,0,0,0,0,0,0,0,0
2019,leeds United Fc,Pablo Hernández,M,988000,0.988,,0,0,0,0,0,0,0,0
2019,leeds United Fc,Ezgjan Alioski,M,780000,0.78,,0,0,0,0,0,0,0,0
2019,leeds United Fc,Eunan O'Kane,M,676000,0.676,,0,0,0,0,0,0,0,0
2019,leeds United Fc,Barry Douglas,D,520000,0.52,,0,0,0,0,0,0,0,0
2019,leeds United Fc,Gaetano Berardi,D,468000,0.468,,0,0,0,0,0,0,0,0
2019,leeds United Fc,Ouasim Bouy,M,457600,0.4576,,0,0,0,0,0,0,0,0
2019,leeds United Fc,Luke Ayling,D,416000,0.416,,0,0,0,0,0,0,0,0
2019,leeds United Fc,Stuart Dallas,M,416000,0.416,,0,0,0,0,0,0,0,0
2019,leeds United Fc,Mateusz Klich,M,403000,0.403,,0,0,0,0,0,0,0,0
2019,leeds United Fc,Jay-Roy Grot,F,371800,0.3718,,0,0,0,0,0,0,0,0
2019,leeds United Fc,Conor Shaughnessy,M,371800,0.3718,,0,0,0,0,0,0,0,0
2019,leeds United Fc,Pascal Struijk,D,371800,0.3718,,0,0,0,0,0,0,0,0
2019,leeds United Fc,Liam Cooper,D,338000,0.338,,0,0,0,0,0,0,0,0
2019,leeds United Fc,Kalvin Phillips,M,234000,0.234,,0,0,0,0,0,0,0,0
2019,leeds United Fc,Tyler Roberts,M,182000,0.182,,0,0,0,0,0,0,0,0
2019,leeds United Fc,Leif Davis,D,31000,0.031,,0,0,0,0,0,0,0,0
2019,leeds United Fc,Elia Caprile,GK,0,0,0,0,0,0,0,0,0,0,0
