"Year","Team","Players","Position","Base.Salary","Base.Num"
"2017","sheffield United Fc","Simon Moore","GK",NA,NA
"2017","sheffield United Fc","Nathan Thomas","F",NA,NA
"2017","sheffield United Fc","Jake Wright","D",NA,NA
"2017","southampton Fc","Manolo Gabbiadini","F","4160000",4.16
"2017","southampton Fc","Charlie Austin","F","3640000",3.64
"2017","southampton Fc","Ryan Bertrand","D","3640000",3.64
"2017","southampton Fc","Fraser Forster","GK","3640000",3.64
"2017","southampton Fc","Sofiane Boufal","M","3380000",3.38
"2017","southampton Fc","Mario Lemina","M","3380000",3.38
"2017","southampton Fc","Oriol Romeu","M","3380000",3.38
"2017","southampton Fc","Cedric Soares","D","3380000",3.38
"2017","southampton Fc","Steven Davis","M","3120000",3.12
"2017","southampton Fc","Wesley Hoedt","D","3120000",3.12
"2017","southampton Fc","Shane Long","F","3120000",3.12
"2017","southampton Fc","Nathan Redmond","F","3120000",3.12
"2017","southampton Fc","Dusan Tadic","F","3120000",3.12
"2017","southampton Fc","Pierre-Emile Hojbjerg","M","2600000",2.6
"2017","southampton Fc","Maya Yoshida","D","2600000",2.6
"2017","southampton Fc","Jack Stephens","D","2496000",2.496
"2017","southampton Fc","James Ward-Prowse","M","2340000",2.34
"2017","southampton Fc","Alex McCarthy","GK","2080000",2.08
"2017","southampton Fc","Jeremy Pied","M","2080000",2.08
"2017","southampton Fc","Jan Bednarek","D","1040000",1.04
"2017","southampton Fc","Jake Hesketh","M","936000",0.936
"2017","southampton Fc","Sam McQueen","M","936000",0.936
"2017","southampton Fc","Josh Sims","F","936000",0.936
"2017","southampton Fc","Jake Flannigan","D","41600",0.0416
"2017","southampton Fc","Alfie Jones","D","41600",0.0416
"2017","southampton Fc","Yan Valery","D","41600",0.0416
"2017","southampton Fc","Will Wood","D","41600",0.0416
"2017","southampton Fc","Guido Carrillo","F",NA,NA
"2017","tottenham Hotspur Fc","Harry Kane","F","5200000",5.2
"2017","tottenham Hotspur Fc","Hugo Lloris","GK","5200000",5.2
"2017","tottenham Hotspur Fc","Jan Vertonghen","D","5200000",5.2
"2017","tottenham Hotspur Fc","Heung-Min Son","F","4420000",4.42
"2017","tottenham Hotspur Fc","Toby Alderweireld","D","4160000",4.16
"2017","tottenham Hotspur Fc","Erik Lamela","M","4160000",4.16
"2017","tottenham Hotspur Fc","Moussa Sissoko","M","4160000",4.16
"2017","tottenham Hotspur Fc","Christian Eriksen","M","3900000",3.9
"2017","tottenham Hotspur Fc","Fernando Llorente","F","3900000",3.9
"2017","tottenham Hotspur Fc","Serge Aurier","D","3640000",3.64
"2017","tottenham Hotspur Fc","Kieran Trippier","D","3380000",3.38
"2017","tottenham Hotspur Fc","Victor Wanyama","M","3380000",3.38
"2017","tottenham Hotspur Fc","Ben Davies","D","3120000",3.12
"2017","tottenham Hotspur Fc","Eric Dier","M","3120000",3.12
"2017","tottenham Hotspur Fc","Danny Rose","D","3120000",3.12
"2017","tottenham Hotspur Fc","Davinson Sanchez","D","3120000",3.12
"2017","tottenham Hotspur Fc","Dele Alli","M","2860000",2.86
"2017","tottenham Hotspur Fc","Mousa Dembele","M","2860000",2.86
"2017","tottenham Hotspur Fc","Michel Vorm","GK","2080000",2.08
"2017","tottenham Hotspur Fc","Lucas Moura","F","1950000",1.95
"2017","tottenham Hotspur Fc","Joshua Onomah","M","1560000",1.56
"2017","tottenham Hotspur Fc","Harry Winks","M","1300000",1.3
"2017","tottenham Hotspur Fc","Juan Foyth","D","1118000",1.118
"2017","tottenham Hotspur Fc","Paulo Gazzaniga","GK","1040000",1.04
"2017","tottenham Hotspur Fc","Kyle Walker-Peters","D","1040000",1.04
"2017","west Bromwich Albion Fc","Daniel Sturridge","F","6760000",6.76
"2017","west Bromwich Albion Fc","Grzegorz Krychowiak","M","4264000",4.264
"2017","west Bromwich Albion Fc","Jonny Evans","D","3380000",3.38
"2017","west Bromwich Albion Fc","Gareth Barry","M","3120000",3.12
"2017","west Bromwich Albion Fc","Nacer Chadli","M","3120000",3.12
"2017","west Bromwich Albion Fc","Ben Foster","GK","3120000",3.12
"2017","west Bromwich Albion Fc","Jay Rodriguez","F","3120000",3.12
"2017","west Bromwich Albion Fc","Jose Salomon Rondon","F","3120000",3.12
"2017","west Bromwich Albion Fc","Claudio Yacob","M","3120000",3.12
"2017","west Bromwich Albion Fc","Kieran Gibbs","D","2860000",2.86
"2017","west Bromwich Albion Fc","Jake Livermore","M","2392000",2.392
"2017","west Bromwich Albion Fc","Chris Brunt","M","2340000",2.34
"2017","west Bromwich Albion Fc","Craig Dawson","D","2080000",2.08
"2017","west Bromwich Albion Fc","James Morrison","M","2080000",2.08
"2017","west Bromwich Albion Fc","Matt Phillips","M","2080000",2.08
"2017","west Bromwich Albion Fc","Gareth McAuley","D","1820000",1.82
"2017","west Bromwich Albion Fc","Allan-Romeo Nyom","D","1820000",1.82
"2017","west Bromwich Albion Fc","Oliver Burke","F","1560000",1.56
"2017","west Bromwich Albion Fc","James McClean","M","1560000",1.56
"2017","west Bromwich Albion Fc","Hal Robson-Kanu","F","1560000",1.56
"2017","west Bromwich Albion Fc","Boaz Myhill","GK","1352000",1.352
"2017","west Bromwich Albion Fc","Sam Field","M","520000",0.52
"2017","west Bromwich Albion Fc","Matheus Pereira","F","312000",0.312
"2017","west Bromwich Albion Fc","Jonathan Leko","M","156000",0.156
"2017","west Bromwich Albion Fc","Alex Palmer","GK","104000",0.104
"2017","west Bromwich Albion Fc","Kane Wilson","D","104000",0.104
