,year,player,squad,position,age,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90
299,2019,Alex McCarthy,Southampton,GK,29,28,28,"2,520",0,0,0,0,0,0,0.00,0.00,0.00,0.00
300,2019,James McCarthy,Crystal Palace,MF,28,33,16,"1,680",0,0,0,0,9,0,0.00,0.00,0.00,0.00
301,2019,John McGinn,Aston Villa,MF,24,28,27,"2,312",3,3,0,0,3,0,0.12,0.23,0.12,0.23
302,2019,David McGoldrick,Sheffield Utd,FW,31,28,22,"1,815",2,2,0,0,2,0,0.10,0.20,0.10,0.20
303,2019,Michael McGovern,Norwich City,GK,35,2,1,159,0,0,0,0,0,0,0.00,0.00,0.00,0.00
304,2019,Kenny McLean,Norwich City,MF,27,37,32,"2,968",1,1,0,0,5,0,0.03,0.06,0.03,0.06
305,2019,Dwight McNeil,Burnley,MF,19,38,38,"3,338",2,6,0,0,5,0,0.05,0.22,0.05,0.22
306,2019,Scott McTominay,Manchester Utd,MF,22,27,20,"1,772",4,1,0,0,2,0,0.20,0.25,0.20,0.25
307,2019,Ben Mee,Burnley,DF,29,32,32,"2,880",1,1,0,0,7,0,0.03,0.06,0.03,0.06
308,2019,Benjamin Mendy,Manchester City,DF,25,19,18,"1,492",0,2,0,0,3,0,0.00,0.12,0.00,0.12
309,2019,Nampalys Mendy,Leicester City,MF,27,7,4,291,0,0,0,0,0,0,0.00,0.00,0.00,0.00
310,2019,Chris Mepham,Bournemouth,DF,21,12,10,912,1,0,0,0,1,0,0.10,0.10,0.10,0.10
311,2019,Max Meyer,Crystal Palace,"MF,FW",23,17,6,655,0,0,0,0,1,0,0.00,0.00,0.00,0.00
312,2019,Luka Milivojević,Crystal Palace,MF,28,31,28,"2,513",3,1,2,2,12,0,0.11,0.14,0.04,0.07
313,2019,James Milner,Liverpool,"MF,DF",33,22,9,937,2,2,2,2,4,0,0.19,0.38,0.00,0.19
314,2019,Yerry Mina,Everton,DF,24,29,25,"2,284",2,1,0,0,3,0,0.08,0.12,0.08,0.12
315,2019,Takumi Minamino,Liverpool,"FW,MF",24,10,2,249,0,0,0,0,0,0,0.00,0.00,0.00,0.00
316,2019,Tyrone Mings,Aston Villa,DF,26,33,33,"2,902",2,2,0,0,7,0,0.06,0.12,0.06,0.12
317,2019,Tyrick Mitchell,Crystal Palace,DF,19,4,2,195,0,0,0,0,1,0,0.00,0.00,0.00,0.00
318,2019,Henrikh Mkhitaryan,Arsenal,FW,30,3,1,112,0,0,0,0,1,0,0.00,0.00,0.00,0.00
319,2019,Nacho Monreal,Arsenal,DF,33,3,3,270,0,0,0,0,0,0,0.00,0.00,0.00,0.00
320,2019,Martín Montoya,Brighton,DF,28,27,23,"1,896",0,1,0,0,5,0,0.00,0.05,0.00,0.05
321,2019,Simon Moore,Sheffield Utd,GK,29,2,2,180,0,0,0,0,0,0,0.00,0.00,0.00,0.00
322,2019,Aaron Mooy,Brighton,"MF,FW",28,31,25,"2,085",2,2,0,0,3,1,0.09,0.17,0.09,0.17
323,2019,Wesley Moraes,Aston Villa,FW,22,21,21,"1,782",5,1,0,1,3,0,0.25,0.30,0.25,0.30
324,2019,Wes Morgan,Leicester City,DF,35,11,4,436,0,0,0,0,0,0,0.00,0.00,0.00,0.00
325,2019,Ravel Morrison,Sheffield Utd,MF,26,1,0,13,0,0,0,0,0,0,0.00,0.00,0.00,0.00
326,2019,Mason Mount,Chelsea,"MF,FW",20,37,32,"2,867",7,5,0,0,3,0,0.22,0.38,0.22,0.38
327,2019,Lucas Moura,Tottenham,"FW,MF",26,35,25,"2,242",4,4,0,0,3,0,0.16,0.32,0.16,0.32
328,2019,Lys Mousset,Sheffield Utd,FW,23,30,11,"1,240",6,4,0,0,1,0,0.44,0.73,0.44,0.73
329,2019,João Moutinho,Wolves,MF,32,38,34,"3,108",1,6,0,0,7,0,0.03,0.20,0.03,0.20
330,2019,Glenn Murray,Brighton,FW,35,23,7,797,1,1,0,0,0,0,0.11,0.23,0.11,0.23
331,2019,Shkodran Mustafi,Arsenal,DF,27,15,13,"1,207",0,1,0,0,2,0,0.00,0.07,0.00,0.07
332,2019,Yoshinori Mutō,Newcastle Utd,"FW,MF",27,8,2,212,0,0,0,0,0,0,0.00,0.00,0.00,0.00
333,2019,Georges-Kévin N'Koudou,Tottenham,FW,24,1,0,3,0,0,0,0,0,0,0.00,0.00,0.00,0.00
334,2019,Marvelous Nakamba,Aston Villa,MF,25,29,19,"1,836",0,0,0,0,5,0,0.00,0.00,0.00,0.00
335,2019,Wilfred Ndidi,Leicester City,MF,22,32,29,"2,674",2,1,0,0,6,0,0.07,0.10,0.07,0.10
336,2019,Tanguy Ndombele,Tottenham,MF,22,21,12,"1,009",2,2,0,0,3,0,0.18,0.36,0.18,0.36
337,2019,Reiss Nelson,Arsenal,FW,19,17,7,631,1,0,0,0,1,0,0.14,0.14,0.14,0.14
338,2019,Pedro Neto,Wolves,"FW,MF",19,29,9,939,3,3,0,0,3,0,0.29,0.58,0.29,0.58
339,2019,Rúben Neves,Wolves,MF,22,38,35,"3,056",2,2,0,0,9,0,0.06,0.12,0.06,0.12
340,2019,Jeremy Ngakia,West Ham,DF,18,5,5,440,0,0,0,0,0,0,0.00,0.00,0.00,0.00
341,2019,Oumar Niasse,Everton,FW,29,3,0,22,0,0,0,0,0,0,0.00,0.00,0.00,0.00
